date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:31:20	3769/3769	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Dec%202014%2017:16:10%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/login.html	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/login.html	(from )
10:31:26	55/55	---M-Z	200	added ('OK')	text/plain	date:Sat,%2027%20Aug%202016%2015:30:47%20GMT	http://graphikaria.com/robots.txt		(from )
10:31:27	318/318	---M-Z	200	added ('OK')	image/x-icon	date:Sat,%2020%20Dec%202014%2017:13:56%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/ico/favicon.ico	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/ico/favicon.ico	(from http://graphikaria.com/demo/theorem/v2.0.0/login.html)
10:31:28	11752/11752	---MC-	404	error ('Not%20found')	text/html	date:Sat,%2027%20Aug%202016%2015:30:54%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/ico/favicon-152.png	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/ico/favicon-152.2.delayed	(from http://graphikaria.com/demo/theorem/v2.0.0/login.html)
10:31:29	11752/11752	---MC-	404	error ('Not%20found')	text/html	date:Sat,%2027%20Aug%202016%2015:30:55%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/ico/favicon-144.png	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/ico/favicon-144.3.delayed	(from http://graphikaria.com/demo/theorem/v2.0.0/login.html)
10:31:29	113498/113498	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Dec%202014%2017:12:19%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/css/bootstrap.min.css	(from http://graphikaria.com/demo/theorem/v2.0.0/login.html)
10:31:29	17780/17780	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Dec%202014%2017:12:51%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/font-awesome/css/font-awesome.min.css	(from http://graphikaria.com/demo/theorem/v2.0.0/login.html)
10:31:30	11032/11032	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Dec%202014%2017:15:57%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/simple-lines/simple-line-icons.css	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/simple-lines/simple-line-icons.css	(from http://graphikaria.com/demo/theorem/v2.0.0/login.html)
10:31:30	178921/178921	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Dec%202014%2017:55:19%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/css/theme.min.css	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/css/theme.min.css	(from http://graphikaria.com/demo/theorem/v2.0.0/login.html)
10:31:31	21139/21139	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Dec%202014%2017:16:10%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/index.html	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/index.html	(from http://graphikaria.com/demo/theorem/v2.0.0/login.html)
10:31:33	32765/32765	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Dec%202014%2017:14:05%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/img/logo-black.png	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/img/logo-black.png	(from http://graphikaria.com/demo/theorem/v2.0.0/login.html)
10:31:33	11756/11756	---MC-	404	error ('Not%20found')	text/html	date:Sat,%2027%20Aug%202016%2015:30:59%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/js/jquery-1.11.1.min.js	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/js/jquery-1.11.1.min.b.delayed	(from http://graphikaria.com/demo/theorem/v2.0.0/login.html)
10:31:34	35601/35601	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2020%20Dec%202014%2017:12:28%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/js/bootstrap.min.js	(from http://graphikaria.com/demo/theorem/v2.0.0/login.html)
10:31:37	20335/20335	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Dec%202014%2017:12:21%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/css/bootstrap.min.css)
10:31:37	23320/23320	---M--	200	added ('OK')	application/x-font-woff	date:Sat,%2020%20Dec%202014%2017:12:25%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/css/bootstrap.min.css)
10:31:40	62927/62927	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2020%20Dec%202014%2017:12:23%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/css/bootstrap.min.css)
10:31:42	20335/20335	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Dec%202014%2017:12:21%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/css/bootstrap.min.css)
10:31:42	41280/41280	---M--	200	added ('OK')	application/x-font-ttf	date:Sat,%2020%20Dec%202014%2017:12:24%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://graphikaria.com/demo/theorem/v2.0.0/assets/bootstrap/css/bootstrap.min.css)
10:31:45	38205/38205	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Dec%202014%2017:12:52%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/font-awesome/fonts/fontawesome-webfont.eot?v=4.0.3	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/font-awesome/fonts/fontawesome-webfontba72.eot	(from http://graphikaria.com/demo/theorem/v2.0.0/assets/font-awesome/css/font-awesome.min.css)
10:31:48	38205/38205	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Dec%202014%2017:12:52%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/font-awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://graphikaria.com/demo/theorem/v2.0.0/assets/font-awesome/css/font-awesome.min.css)
10:31:51	44432/44432	---M--	200	added ('OK')	application/x-font-woff	date:Sat,%2020%20Dec%202014%2017:12:58%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/font-awesome/fonts/fontawesome-webfontba72.woff	(from http://graphikaria.com/demo/theorem/v2.0.0/assets/font-awesome/css/font-awesome.min.css)
10:31:52	202148/202148	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2020%20Dec%202014%2017:12:55%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/font-awesome/fonts/fontawesome-webfont.svg?v=4.0.3	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/font-awesome/fonts/fontawesome-webfontba72.svg	(from http://graphikaria.com/demo/theorem/v2.0.0/assets/font-awesome/css/font-awesome.min.css)
10:31:55	95786/95786	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	C:/My%20Web%20Sites/reuneoswebperfil/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from http://graphikaria.com/demo/theorem/v2.0.0/login.html)
10:31:56	35514/35514	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Dec%202014%2017:15:47%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/simple-lines/fonts/Simple-Line-Icons.eot	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/simple-lines/fonts/Simple-Line-Icons.eot	(from http://graphikaria.com/demo/theorem/v2.0.0/assets/simple-lines/simple-line-icons.css)
10:31:56	35514/35514	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Dec%202014%2017:15:47%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/simple-lines/fonts/Simple-Line-Icons.eot?	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/simple-lines/fonts/Simple-Line-Iconsd41d.eot	(from http://graphikaria.com/demo/theorem/v2.0.0/assets/simple-lines/simple-line-icons.css)
10:32:02	179404/179404	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2020%20Dec%202014%2017:15:51%20GMT	http://graphikaria.com/demo/theorem/v2.0.0/assets/simple-lines/fonts/Simple-Line-Icons.svg	C:/My%20Web%20Sites/reuneoswebperfil/graphikaria.com/demo/theorem/v2.0.0/assets/simple-lines/fonts/Simple-Line-Icons.svg	(from http://graphikaria.com/demo/theorem/v2.0.0/assets/simple-lines/simple-line-icons.css)
